NAME,CODE,OPEN,HIGH,LOW,CLOSE
SH.PACETRON.,527005, 12.72, 12.72, 12.72, 12.72
HIND ALUMIN ,531979, 41.8, 41.8, 38.0, 38.5
NIBE        ,535136, 31.65, 34.8, 31.6, 34.0
935SEFL22B  ,935936, 400.0, 400.0, 390.0, 400.0
NRB BEARINGS,530367, 109.6, 109.6, 106.0, 106.15
HATHWAY CAB ,533162, 23.45, 23.5, 22.95, 23.05
KRRAIL      ,514360, 14.1, 14.1, 13.56, 13.9
SEQUENT     ,512529, 290.1, 299.4, 289.1, 292.2
GOLD LINE   ,538180, 0.24, 0.25, 0.23, 0.25
MTARTECH    ,543270, 935.0, 944.9, 918.8, 920.75
MORARJETEX  ,532621, 14.38, 14.38, 13.88, 14.12
BHARAT GEARS,505688, 78.0, 86.85, 76.0, 82.85
AXITA       ,542285, 38.2, 38.3, 38.0, 38.0
ABIRAMI FIN.,511756, 3.95, 3.95, 3.95, 3.95
UMIYA       ,539798, 7.1, 7.1, 7.1, 7.1
SHREE CEMENT,500387, 27779.2, 28046.0, 27504.85, 27842.1
ICICIGI     ,540716, 1450.0, 1472.0, 1441.4, 1452.45
PAT INT LOG ,526381, 19.0, 19.4, 18.8, 19.05
BLUE DART EX,526612, 5348.95, 5455.2, 5275.0, 5319.8
CJ GELATIN  ,507515, 20.15, 20.2, 18.3, 19.5
SKIL        ,539861, 2.71, 2.71, 2.62, 2.62
TIMKEN (I)  ,522113, 1382.8, 1392.1, 1368.5, 1379.65
KIRL INDUS  ,500243, 1310.0, 1389.0, 1302.15, 1354.5
KORE        ,500458, 2.05, 2.25, 2.05, 2.24
ZENITH FIBRE,514266, 36.65, 37.95, 35.0, 36.25
SWASTIK INV ,530585, 163.15, 164.9, 158.05, 159.3
ICICIPRULI  ,540133, 555.2, 574.6, 551.65, 559.2
1065MHFL24  ,936955, 1111.0, 1111.0, 1111.0, 1111.0
BOM.CYCLE   ,501430, 480.0, 503.0, 480.0, 496.7
JSW ENERGY  ,533148, 111.8, 121.0, 109.35, 119.25
AXTEL INDUS.,523850, 292.3, 297.0, 290.0, 294.25
1025EFIL25  ,937087, 985.0, 985.0, 985.0, 985.0
HSIL        ,500187, 154.85, 159.8, 152.5, 155.8
RAMCOCEM    ,500260, 967.65, 983.4, 966.35, 973.95
06GPG       ,542969, 28.87, 28.87, 28.87, 28.87
DOLLAR      ,541403, 243.7, 255.7, 243.55, 252.6
820NHAI22   ,961727, 1077.0, 1077.15, 1077.0, 1077.15
TGVSL       ,507753, 35.3, 36.4, 34.8, 35.4
GATI LTD.   ,532345, 104.0, 106.9, 102.9, 105.2
INDIGO      ,539448, 1629.0, 1663.15, 1596.35, 1649.8
FINEOTEX  CH,533333, 79.75, 84.1, 77.9, 82.5
NAVKAR BUILD,531494, 10.5, 10.98, 10.49, 10.59
SIS         ,540673, 373.4, 373.4, 365.5, 370.5
VISAGAR POL ,506146, 0.67, 0.7, 0.66, 0.69
MEDI CAPS   ,523144, 44.3, 44.5, 42.5, 44.25
WOCKHARDT   ,532300, 521.0, 556.95, 518.3, 534.8
VOLTAS LTD  ,500575, 979.3, 993.2, 965.55, 971.8
PICCADILY AG,530305, 15.2, 15.29, 14.41, 14.65
FRANKLININD ,540190, 9.55, 9.55, 9.55, 9.55
IBUL HSG FIN,535789, 179.9, 181.0, 177.25, 179.65
MOLDTEKPP   ,890151, 319.85, 368.0, 283.1, 330.0
JSL         ,532508, 89.5, 94.6, 89.25, 91.25
CMM HOSPITAL,523489, 11.56, 12.64, 11.56, 12.63
TOWA SOKKI  ,531771, 6.28, 6.28, 6.28, 6.28
BAJFINANCE  ,500034, 5656.0, 5708.9, 5453.0, 5517.0
BIHAR SPONGE,500058, 4.65, 4.65, 4.65, 4.65
SOTL        ,524667, 1030.0, 1033.9, 1022.3, 1029.35
SYMBIOX     ,539278, 0.74, 0.78, 0.74, 0.78
